Status	Temporal	Word	Alternative
-	0	IVCMXXXV	
-	0	IVCMXXXVI	
-	0	IVCMXXXVII	
-	0	IVCMXXXVIII	
-	0	IVCV	
-	0	IVCVI	
-	0	IVCVII	
-	0	IVCVIII	
-	0	IVCX	
-	0	IVCXC	
-	0	IVCXCI	
-	0	IVCXCII	
-	0	IVCXCIII	
-	0	IVCXCIV	
-	0	IVCXCIX	
-	0	IVCXCV	
-	0	IVCXCVI	
-	0	IVCXCVII	
-	0	IVCXCVIII	
-	0	IVCXI	
-	0	IVCXII	
-	0	IVCXIII	
-	0	IVCXIV	
-	0	IVCXIX	
-	0	IVCXL	
-	0	IVCXLI	
-	0	IVCXLII	
-	0	IVCXLIII	
-	0	IVCXLIV	
-	0	IVCXLIX	
-	0	IVCXLV	
-	0	IVCXLVI	
-	0	IVCXLVII	
-	0	IVCXLVIII	
-	0	IVCXV	
-	0	IVCXVI	
-	0	IVCXVII	
-	0	IVCXVIII	
-	0	IVCXX	
-	0	IVCXXI	
-	0	IVCXXII	
-	0	IVCXXIII	
-	0	IVCXXIV	
-	0	IVCXXIX	
-	0	IVCXXV	
-	0	IVCXXVI	
-	0	IVCXXVII	
-	0	IVCXXVIII	
-	0	IVCXXX	
-	0	IVCXXXI	
-	0	IVCXXXII	
-	0	IVCXXXIII	
-	0	IVCXXXIV	
-	0	IVCXXXIX	
-	0	IVCXXXV	
-	0	IVCXXXVI	
-	0	IVCXXXVII	
-	0	IVCXXXVIII	
-	0	IVD	
-	0	IVDC	
-	0	IVDCC	
-	0	IVDCCC	
-	0	IVDCCCI	
-	0	IVDCCCII	
-	0	IVDCCCIII	
-	0	IVDCCCIV	
-	0	IVDCCCIX	
-	0	IVDCCCL	
-	0	IVDCCCLI	
-	0	IVDCCCLII	
-	0	IVDCCCLIII	
-	0	IVDCCCLIV	
-	0	IVDCCCLIX	
-	0	IVDCCCLV	
-	0	IVDCCCLVI	
-	0	IVDCCCLVII	
-	0	IVDCCCLVIII	
-	0	IVDCCCLX	
-	0	IVDCCCLXI	
-	0	IVDCCCLXII	
-	0	IVDCCCLXIII	
-	0	IVDCCCLXIV	
-	0	IVDCCCLXIX	
-	0	IVDCCCLXV	
-	0	IVDCCCLXVI	
-	0	IVDCCCLXVII	
-	0	IVDCCCLXVIII	
-	0	IVDCCCLXX	
-	0	IVDCCCLXXI	
-	0	IVDCCCLXXII	
-	0	IVDCCCLXXIII	
-	0	IVDCCCLXXIV	
-	0	IVDCCCLXXIX	
-	0	IVDCCCLXXV	
-	0	IVDCCCLXXVI	
-	0	IVDCCCLXXVII	
-	0	IVDCCCLXXVIII	
-	0	IVDCCCLXXX	
-	0	IVDCCCLXXXI	
-	0	IVDCCCLXXXII	
-	0	IVDCCCLXXXIII	
-	0	IVDCCCLXXXIV	
-	0	IVDCCCLXXXIX	
-	0	IVDCCCLXXXV	
-	0	IVDCCCLXXXVI	
-	0	IVDCCCLXXXVII	
-	0	IVDCCCLXXXVIII	
-	0	IVDCCCV	
-	0	IVDCCCVI	
-	0	IVDCCCVII	
-	0	IVDCCCVIII	
-	0	IVDCCCX	
-	0	IVDCCCXC	
-	0	IVDCCCXCI	
-	0	IVDCCCXCII	
-	0	IVDCCCXCIII	
-	0	IVDCCCXCIV	
-	0	IVDCCCXCIX	
-	0	IVDCCCXCV	
-	0	IVDCCCXCVI	
-	0	IVDCCCXCVII	
-	0	IVDCCCXCVIII	
-	0	IVDCCCXI	
-	0	IVDCCCXII	
-	0	IVDCCCXIII	
-	0	IVDCCCXIV	
-	0	IVDCCCXIX	
-	0	IVDCCCXL	
-	0	IVDCCCXLI	
-	0	IVDCCCXLII	
-	0	IVDCCCXLIII	
-	0	IVDCCCXLIV	
-	0	IVDCCCXLIX	
-	0	IVDCCCXLV	
-	0	IVDCCCXLVI	
-	0	IVDCCCXLVII	
-	0	IVDCCCXLVIII	
-	0	IVDCCCXV	
-	0	IVDCCCXVI	
-	0	IVDCCCXVII	
-	0	IVDCCCXVIII	
-	0	IVDCCCXX	
-	0	IVDCCCXXI	
-	0	IVDCCCXXII	
-	0	IVDCCCXXIII	
-	0	IVDCCCXXIV	
-	0	IVDCCCXXIX	
-	0	IVDCCCXXV	
-	0	IVDCCCXXVI	
-	0	IVDCCCXXVII	
-	0	IVDCCCXXVIII	
-	0	IVDCCCXXX	
-	0	IVDCCCXXXI	
-	0	IVDCCCXXXII	
-	0	IVDCCCXXXIII	
-	0	IVDCCCXXXIV	
-	0	IVDCCCXXXIX	
-	0	IVDCCCXXXV	
-	0	IVDCCCXXXVI	
-	0	IVDCCCXXXVII	
-	0	IVDCCCXXXVIII	
-	0	IVDCCI	
-	0	IVDCCII	
-	0	IVDCCIII	
-	0	IVDCCIV	
-	0	IVDCCIX	
-	0	IVDCCL	
-	0	IVDCCLI	
-	0	IVDCCLII	
-	0	IVDCCLIII	
-	0	IVDCCLIV	
-	0	IVDCCLIX	
-	0	IVDCCLV	
-	0	IVDCCLVI	
-	0	IVDCCLVII	
-	0	IVDCCLVIII	
-	0	IVDCCLX	
-	0	IVDCCLXI	
-	0	IVDCCLXII	
-	0	IVDCCLXIII	
-	0	IVDCCLXIV	
-	0	IVDCCLXIX	
-	0	IVDCCLXV	
-	0	IVDCCLXVI	
-	0	IVDCCLXVII	
-	0	IVDCCLXVIII	
-	0	IVDCCLXX	
-	0	IVDCCLXXI	
-	0	IVDCCLXXII	
-	0	IVDCCLXXIII	
-	0	IVDCCLXXIV	
-	0	IVDCCLXXIX	
-	0	IVDCCLXXV	
-	0	IVDCCLXXVI	
-	0	IVDCCLXXVII	
-	0	IVDCCLXXVIII	
-	0	IVDCCLXXX	
-	0	IVDCCLXXXI	
-	0	IVDCCLXXXII	
-	0	IVDCCLXXXIII	
-	0	IVDCCLXXXIV	
-	0	IVDCCLXXXIX	
-	0	IVDCCLXXXV	
-	0	IVDCCLXXXVI	
-	0	IVDCCLXXXVII	
-	0	IVDCCLXXXVIII	
-	0	IVDCCV	
-	0	IVDCCVI	
-	0	IVDCCVII	
-	0	IVDCCVIII	
-	0	IVDCCX	
-	0	IVDCCXC	
-	0	IVDCCXCI	
-	0	IVDCCXCII	
-	0	IVDCCXCIII	
-	0	IVDCCXCIV	
-	0	IVDCCXCIX	
-	0	IVDCCXCV	
-	0	IVDCCXCVI	
-	0	IVDCCXCVII	
-	0	IVDCCXCVIII	
-	0	IVDCCXI	
-	0	IVDCCXII	
-	0	IVDCCXIII	
-	0	IVDCCXIV	
-	0	IVDCCXIX	
-	0	IVDCCXL	
-	0	IVDCCXLI	
-	0	IVDCCXLII	
-	0	IVDCCXLIII	
-	0	IVDCCXLIV	
-	0	IVDCCXLIX	
-	0	IVDCCXLV	
-	0	IVDCCXLVI	
-	0	IVDCCXLVII	
-	0	IVDCCXLVIII	
-	0	IVDCCXV	
-	0	IVDCCXVI	
-	0	IVDCCXVII	
-	0	IVDCCXVIII	
-	0	IVDCCXX	
-	0	IVDCCXXI	
-	0	IVDCCXXII	
-	0	IVDCCXXIII	
-	0	IVDCCXXIV	
-	0	IVDCCXXIX	
-	0	IVDCCXXV	
-	0	IVDCCXXVI	
-	0	IVDCCXXVII	
-	0	IVDCCXXVIII	
-	0	IVDCCXXX	
-	0	IVDCCXXXI	
-	0	IVDCCXXXII	
-	0	IVDCCXXXIII	
-	0	IVDCCXXXIV	
-	0	IVDCCXXXIX	
-	0	IVDCCXXXV	
-	0	IVDCCXXXVI	
-	0	IVDCCXXXVII	
-	0	IVDCCXXXVIII	
-	0	IVDCI	
-	0	IVDCII	
-	0	IVDCIII	
-	0	IVDCIV	
-	0	IVDCIX	
-	0	IVDCL	
-	0	IVDCLI	
-	0	IVDCLII	
-	0	IVDCLIII	
-	0	IVDCLIV	
-	0	IVDCLIX	
-	0	IVDCLV	
-	0	IVDCLVI	
-	0	IVDCLVII	
-	0	IVDCLVIII	
-	0	IVDCLX	
-	0	IVDCLXI	
-	0	IVDCLXII	
-	0	IVDCLXIII	
-	0	IVDCLXIV	
-	0	IVDCLXIX	
-	0	IVDCLXV	
-	0	IVDCLXVI	
-	0	IVDCLXVII	
-	0	IVDCLXVIII	
-	0	IVDCLXX	
-	0	IVDCLXXI	
-	0	IVDCLXXII	
-	0	IVDCLXXIII	
-	0	IVDCLXXIV	
-	0	IVDCLXXIX	
-	0	IVDCLXXV	
-	0	IVDCLXXVI	
-	0	IVDCLXXVII	
-	0	IVDCLXXVIII	
-	0	IVDCLXXX	
-	0	IVDCLXXXI	
-	0	IVDCLXXXII	
-	0	IVDCLXXXIII	
-	0	IVDCLXXXIV	
-	0	IVDCLXXXIX	
-	0	IVDCLXXXV	
-	0	IVDCLXXXVI	
-	0	IVDCLXXXVII	
-	0	IVDCLXXXVIII	
-	0	IVDCV	
-	0	IVDCVI	
-	0	IVDCVII	
-	0	IVDCVIII	
-	0	IVDCX	
-	0	IVDCXC	
-	0	IVDCXCI	
-	0	IVDCXCII	
-	0	IVDCXCIII	
-	0	IVDCXCIV	
-	0	IVDCXCIX	
-	0	IVDCXCV	
-	0	IVDCXCVI	
-	0	IVDCXCVII	
-	0	IVDCXCVIII	
-	0	IVDCXI	
-	0	IVDCXII	
-	0	IVDCXIII	
-	0	IVDCXIV	
-	0	IVDCXIX	
-	0	IVDCXL	
-	0	IVDCXLI	
-	0	IVDCXLII	
-	0	IVDCXLIII	
-	0	IVDCXLIV	
-	0	IVDCXLIX	
-	0	IVDCXLV	
-	0	IVDCXLVI	
-	0	IVDCXLVII	
-	0	IVDCXLVIII	
-	0	IVDCXV	
-	0	IVDCXVI	
-	0	IVDCXVII	
-	0	IVDCXVIII	
-	0	IVDCXX	
-	0	IVDCXXI	
-	0	IVDCXXII	
-	0	IVDCXXIII	
-	0	IVDCXXIV	
-	0	IVDCXXIX	
-	0	IVDCXXV	
-	0	IVDCXXVI	
-	0	IVDCXXVII	
-	0	IVDCXXVIII	
-	0	IVDCXXX	
-	0	IVDCXXXI	
-	0	IVDCXXXII	
-	0	IVDCXXXIII	
-	0	IVDCXXXIV	
-	0	IVDCXXXIX	
-	0	IVDCXXXV	
-	0	IVDCXXXVI	
-	0	IVDCXXXVII	
-	0	IVDCXXXVIII	
-	0	IVDI	
-	0	IVDII	
-	0	IVDIII	
-	0	IVDIV	
-	0	IVDIX	
-	0	IVDL	
-	0	IVDLI	
-	0	IVDLII	
-	0	IVDLIII	
-	0	IVDLIV	
-	0	IVDLIX	
-	0	IVDLV	
-	0	IVDLVI	
-	0	IVDLVII	
-	0	IVDLVIII	
-	0	IVDLX	
-	0	IVDLXI	
-	0	IVDLXII	
-	0	IVDLXIII	
-	0	IVDLXIV	
-	0	IVDLXIX	
-	0	IVDLXV	
-	0	IVDLXVI	
-	0	IVDLXVII	
-	0	IVDLXVIII	
-	0	IVDLXX	
-	0	IVDLXXI	
